ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
4337,1,19,0.5625,0.8,1,53.5,0.84,0.746666667,0.8,0.333333333,0.666666667,0.533333333,0.8
4425,2,22,0.15,0.7,1,2452,0.693333333,0.786666667,0.47,0.444444444,0.583333333,0.266666667,0.75
4494,1,19,0.5,0.75,0,163,0.706666667,0.546666667,0.87,0.555555556,0.75,0.733333333,0.775
4601,1,19,0.39,0.65,0,433,0.8,0.773333333,0.4,0.444444444,0.375,0.266666667,0.575
4669,2,46,-0.04,0.5,1,76,0.893333333,0.893333333,0.4,0.333333333,0.458333333,0.333333333,0.875
4693,2,20,0.42,0.8,0,618,0.826666667,0.786666667,0.53,0.444444444,0.458333333,0.2,0.6
4724,1,33,0.230769231,0.65,5,600,0.826666667,0.893333333,0.33,0.277777778,0.708333333,0.733333333,0.85
4756,2,19,0.74,0.85,2,1569,0.693333333,0.72,0.53,0.5,0.541666667,0.333333333,0.575
4807,2,21,0.46,0.7,3,-169,0.813333333,0.84,0.73,0.5,0.5,0.733333333,0.85
4812,2,28,0.26,0.75,4,528,0.786666667,0.906666667,0.33,0.333333333,0.25,0.133333333,0.675
4813,2,19,0.37,0.8,0,1043,0.466666667,0.52,0.53,0.666666667,0.666666667,0.533333333,0.7
4891,2,22,NA,NA,NA,293,0.466666667,0.52,0.47,0.277777778,0.25,0.266666667,0.6
4906,2,21,0.56,0.9,0,572,0.68,NA,0.47,0.444444444,0.375,0.333333333,0.65
4991,2,19,0.29,0.7,2,-72,0.906666667,0.933333333,0.53,0.722222222,0.625,0.666666667,0.875
5068,2,18,NA,NA,NA,442,0.906666667,0.72,0.4,0.611111111,0.375,0.466666667,0.7
5212,2,17,0.57,0.7,11,573,0.72,0.68,0.13,0.333333333,0.416666667,0.266666667,0.625
5217,2,20,0.2,0.75,2,300,0.853333333,0.773333333,0.67,0.5,0.541666667,0.8,0.825
5227,1,18,0.666666667,0.75,0,218.5,0.92,1,0.87,0.5,0.75,0.6,0.775
5229,2,18,0.46,0.75,11,1598,0.626666667,0.573333333,0.6,0.333333333,0.375,0.466666667,0.625
5287,1,23,0.461538462,0.65,1,NA,0.92,0.733333333,0.67,0.611111111,0.583333333,0.733333333,0.75
5366,2,22,NA,NA,NA,1576,0.826666667,0.786666667,0.33,0.388888889,0.333333333,NA,0.5
5423,1,35,0.7,0.6,2,717,0.333333333,0.32,0.53,0.388888889,0.5,0.666666667,0.725
5462,2,18,0.5,0.7,0,-501,0.586666667,0.493333333,0.27,0.388888889,0.458333333,0.133333333,0.35
5494,1,18,0.6,0.75,4,-185.5,0.76,0.706666667,0.33,0.222222222,0.458333333,0.4,0.625
5506,2,22,0.5,0.8,1,914,0.733333333,0.706666667,0.6,0.722222222,0.375,0.533333333,0.75
5515,2,21,NA,NA,NA,177,0.52,0.173333333,NA,0.166666667,NA,NA,NA
5529,2,20,NA,NA,NA,250,0.986666667,0.973333333,0.67,0.611111111,0.416666667,0.666666667,0.85
5566,2,19,0.6,0.85,2,357,0.613333333,0.853333333,0.53,0.388888889,0.5,0.466666667,0.55
5683,2,22,0.52,0.65,1,621,0.48,0.4,NA,0.444444444,NA,NA,NA
5795,1,18,0.363636364,0.55,8,491,0.68,0.453333333,0.53,0.055555556,0.458333333,0.066666667,0.65
5897,1,17,0.45,0.65,1,843,0.32,0.21333333300000001,0.47,0.555555556,0.375,0.066666667,0.6
5989,2,19,0.14,0.65,2,1132,1,0.973333333,0.53,0.5,0.416666667,0.2,0.7
5995,2,18,0.03,0.75,0,471,0.733333333,0.746666667,0.6,0.666666667,0.708333333,0.466666667,0.825
6041,2,21,NA,NA,NA,1665,0.906666667,0.613333333,0.27,0.277777778,0.5,0.4,0.75
6045,2,18,0.93,0.65,3,1909,0.906666667,0.64,0.6,0.5,0.291666667,0.066666667,0.575
6140,1,22,0.25,0.5,0,-600,0.84,0.346666667,NA,0.166666667,NA,NA,NA
6141,1,18,0.21,0.7,0,368,0.933333333,0.786666667,0.87,0.666666667,0.791666667,0.866666667,0.85
6290,2,22,0.77,0.65,1,456,0.24,0.146666667,0.27,0.388888889,0.375,0.266666667,0.65
6591,1,18,0.3,0.85,1,14,0.88,0.88,0.53,0.666666667,0.458333333,0.333333333,0.55
6866,2,21,0.72,0.75,3,226,0.666666667,0.48,0.47,0.5,0.5,0.4,0.675
6957,2,27,0.35,0.85,0,154,0.96,0.746666667,NA,0.722222222,NA,NA,NA
